,Accuracy,Recall,F1,AUC,PR-AUC
[P1] SVC,0.8314,0.1818,0.1212,0.5878,0.097
[P1] KNN,0.7849,0.3636,0.1778,0.7058,0.1241
[P1] RandomForest,0.8663,0.1818,0.1481,0.7092,0.2072
[P1] XGBoost,0.843,0.0909,0.069,0.6957,0.197
[P3] Hybrid_SVC+KNN,0.7791,0.4545,0.2083,0.7002,0.1221
[P3] Hybrid_RF+SVC,0.8023,0.2727,0.15,0.6567,0.1083
[P3] Hybrid_XGB+KNN,0.7616,0.5455,0.2264,0.7425,0.1461
[P3] Hybrid_RF+XGB,0.8314,0.1818,0.1212,0.6657,0.146
[P3] Hybrid_ALL4,0.814,0.1818,0.1111,0.7205,0.1381
[P4] Tuned_SVC,0.8953,0.1818,0.1818,0.6064,0.1196
[P4] Tuned_KNN,0.8314,0.4545,0.2564,0.6321,0.1225
[P4] Tuned_RF,0.8721,0.1818,0.1538,0.679,0.1411
[P4] Tuned_XGB,0.8198,0.2727,0.1622,0.6781,0.1442
[P4] Tuned_Hybrid_SVC+KNN,0.8779,0.2727,0.2222,0.6448,0.138
[P4] Tuned_Hybrid_RF+SVC,0.8953,0.1818,0.1818,0.6906,0.1363
[P4] Tuned_Hybrid_XGB+KNN,0.814,0.0909,0.0588,0.7075,0.1981
[P4] Tuned_Hybrid_RF+XGB,0.8372,0.1818,0.125,0.6708,0.1295
[P4] Tuned_Hybrid_ALL4,0.843,0.2727,0.1818,0.7329,0.1692
[P4] Tuned_Stacking_ALL4,0.8953,0.0909,0.1,0.7211,0.1596
